" Sub-national electricity sales and numbers of customers, 2016 (1) ",,,, Number of MPANs (thousands) ,,,,, Sales (GWh) ,,,,, Averages (KWh) ,,,,,,,,,,, Average domestic consumption per household (kWh) (2) ,
,,,, Domestic consumers ,,, Non-domestic consumers ,, Domestic consumers ,,, Non-domestic consumers , All , Domestic Economy 7 ,, Standard ,, All domestic ,, Non-domestic ,, All ,,,,
 Region , Local Authority , LA Code , LAU1 , Economy 7 meters , Standard Meters , All domestic , All Non-domestic , Total number of Meters , Economy 7 meters , Standard meters , All domestic , All non-domestic , Total consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption , Mean consumption , Median consumption ,,,
 EAST MIDLANDS ,Derbyshire Dales,E07000035,UKF1303, 14 , 20 , 34 , 5 , 38 , 74 , 70 , 143 , 262 , 405 ," 5,284 "," 3,862 "," 3,529 "," 2,834 "," 4,255 "," 3,195 "," 56,134 "," 9,178 "," 10,574 "," 3,365 ",," 4,549 ",
 EAST MIDLANDS ,Erewash,E07000036,UKF1304, 19 , 32 , 51 , 4 , 55 , 76 , 106 , 182 , 214 , 396 ," 3,969 "," 3,208 "," 3,296 "," 2,809 "," 3,548 "," 2,956 "," 58,975 "," 9,487 "," 7,201 "," 3,030 ",," 3,596 ",
 EAST MIDLANDS ,High Peak,E07000037,UKF1305, 4 , 38 , 41 , 4 , 45 , 22 , 134 , 156 , 581 , 737 ," 5,947 "," 4,331 "," 3,575 "," 3,031 "," 3,791 "," 3,102 "," 161,272 "," 9,679 "," 16,435 "," 3,203 ",," 3,904 ",
 EAST MIDLANDS ,North East Derbyshire,E07000038,UKF1203, 9 , 36 , 45 , 3 , 48 , 40 , 118 , 159 , 247 , 406 ," 4,281 "," 3,317 "," 3,332 "," 2,821 "," 3,530 "," 2,914 "," 83,169 "," 8,518 "," 8,472 "," 2,973 ",," 3,603 ",
 EAST MIDLANDS ,South Derbyshire,E07000039,UKF1302, 15 , 27 , 42 , 3 , 45 , 70 , 96 , 165 , 362 , 527 ," 4,598 "," 3,508 "," 3,557 "," 3,000 "," 3,932 "," 3,161 "," 131,830 "," 10,614 "," 11,769 "," 3,240 ",," 3,940 ",
 EAST MIDLANDS ,Blaby,E07000129,UKF2201, 16 , 25 , 42 , 2 , 44 , 68 , 88 , 156 , 202 , 357 ," 4,156 "," 3,387 "," 3,451 "," 2,943 "," 3,726 "," 3,110 "," 82,198 "," 14,805 "," 8,081 "," 3,188 ",," 3,880 ",
 EAST MIDLANDS ,Charnwood,E07000130,UKF2202, 27 , 46 , 73 , 5 , 78 , 112 , 151 , 263 , 428 , 691 ," 4,101 "," 3,265 "," 3,328 "," 2,797 "," 3,617 "," 2,964 "," 79,871 "," 10,976 "," 8,851 "," 3,048 ",," 3,669 ",
 EAST MIDLANDS ,Harborough,E07000131,UKF2203, 16 , 23 , 38 , 4 , 42 , 78 , 87 , 165 , 197 , 362 ," 4,993 "," 3,814 "," 3,851 "," 3,178 "," 4,316 "," 3,417 "," 54,820 "," 10,647 "," 8,652 "," 3,536 ",," 4,440 ",
 EAST MIDLANDS ,Hinckley and Bosworth,E07000132,UKF2204, 21 , 29 , 50 , 4 , 53 , 89 , 101 , 190 , 244 , 433 ," 4,297 "," 3,355 "," 3,477 "," 2,923 "," 3,817 "," 3,085 "," 66,062 "," 10,111 "," 8,114 "," 3,167 ",," 4,005 ",
 EAST MIDLANDS ,Melton,E07000133,UKF2205, 10 , 13 , 23 , 2 , 25 , 49 , 46 , 95 , 180 , 275 ," 4,886 "," 3,709 "," 3,651 "," 2,986 "," 4,195 "," 3,271 "," 82,307 "," 9,205 "," 11,082 "," 3,365 ",," 4,259 ",
 EAST MIDLANDS ,North West Leicestershire,E07000134,UKF2206, 16 , 27 , 43 , 4 , 47 , 77 , 95 , 171 , 384 , 555 ," 4,685 "," 3,583 "," 3,540 "," 2,994 "," 3,975 "," 3,198 "," 108,569 "," 11,489 "," 11,904 "," 3,297 ",," 4,206 ",
 EAST MIDLANDS ,Oadby and Wigston,E07000135,UKF2207, 9 , 14 , 23 , 2 , 25 , 35 , 48 , 83 , 101 , 184 ," 3,940 "," 3,194 "," 3,323 "," 2,812 "," 3,559 "," 2,942 "," 66,623 "," 11,572 "," 7,426 "," 3,016 ",," 3,851 ",
 EAST MIDLANDS ,Boston,E07000136,UKF3001, 12 , 17 , 29 , 3 , 32 , 56 , 62 , 118 , 198 , 316 ," 4,743 "," 3,611 "," 3,554 "," 2,911 "," 4,031 "," 3,161 "," 75,035 "," 9,575 "," 9,920 "," 3,255 ",," 4,109 ",
 EAST MIDLANDS ,East Lindsey,E07000137,UKF3002, 25 , 41 , 66 , 8 , 74 , 131 , 155 , 286 , 404 , 691 ," 5,308 "," 3,834 "," 3,741 "," 3,015 "," 4,328 "," 3,262 "," 51,248 "," 7,311 "," 9,329 "," 3,363 ",," 4,592 ",
 EAST MIDLANDS ,Lincoln,E07000138,UKF3003, 15 , 29 , 43 , 4 , 47 , 53 , 87 , 140 , 257 , 397 ," 3,632 "," 2,939 "," 3,026 "," 2,557 "," 3,231 "," 2,671 "," 69,284 "," 10,243 "," 8,446 "," 2,778 ",," 3,370 ",
 EAST MIDLANDS ,North Kesteven,E07000139,UKF3004, 20 , 30 , 50 , 4 , 54 , 95 , 106 , 202 , 270 , 471 ," 4,740 "," 3,533 "," 3,545 "," 2,975 "," 4,026 "," 3,172 "," 65,760 "," 8,463 "," 8,700 "," 3,249 ",," 4,160 ",
 EAST MIDLANDS ,South Holland,E07000140,UKF3005, 17 , 23 , 40 , 4 , 44 , 87 , 87 , 174 , 330 , 504 ," 4,981 "," 3,730 "," 3,840 "," 3,112 "," 4,335 "," 3,346 "," 85,760 "," 8,629 "," 11,457 "," 3,447 ",," 4,471 ",
 EAST MIDLANDS ,South Kesteven,E07000141,UKF3006, 25 , 38 , 62 , 6 , 68 , 125 , 134 , 258 , 392 , 650 ," 5,019 "," 3,754 "," 3,560 "," 2,966 "," 4,142 "," 3,227 "," 71,173 "," 9,663 "," 9,573 "," 3,325 ",," 4,248 ",
 EAST MIDLANDS ,West Lindsey,E07000142,UKF3007, 9 , 33 , 42 , 4 , 46 , 46 , 122 , 168 , 204 , 372 ," 5,142 "," 3,785 "," 3,680 "," 3,069 "," 3,990 "," 3,187 "," 50,565 "," 6,156 "," 8,072 "," 3,246 ",," 4,152 ",
 EAST MIDLANDS ,Corby,E07000150,UKF2501, 6 , 23 , 29 , 2 , 31 , 24 , 76 , 100 , 346 , 445 ," 4,078 "," 3,270 "," 3,331 "," 2,933 "," 3,482 "," 2,992 "," 155,964 "," 12,285 "," 14,439 "," 3,065 ",," 3,583 ",
 EAST MIDLANDS ,Daventry,E07000151,UKF2401, 15 , 20 , 35 , 3 , 39 , 83 , 85 , 168 , 264 , 432 ," 5,571 "," 4,096 "," 4,179 "," 3,380 "," 4,768 "," 3,635 "," 79,091 "," 11,414 "," 11,194 "," 3,747 ",," 5,084 ",
 EAST MIDLANDS ,East Northamptonshire,E07000152,UKF2502, 14 , 26 , 40 , 3 , 43 , 69 , 96 , 166 , 197 , 362 ," 5,009 "," 3,773 "," 3,707 "," 3,070 "," 4,158 "," 3,273 "," 68,889 "," 9,928 "," 8,496 "," 3,352 ",," 4,400 ",
 EAST MIDLANDS ,Kettering,E07000153,UKF2503, 14 , 30 , 44 , 3 , 47 , 61 , 105 , 165 , 240 , 405 ," 4,447 "," 3,491 "," 3,457 "," 2,915 "," 3,764 "," 3,073 "," 77,130 "," 10,390 "," 8,607 "," 3,143 ",," 3,922 ",
 EAST MIDLANDS ,Northampton,E07000154,UKF2402, 32 , 65 , 97 , 7 , 104 , 130 , 221 , 351 , 559 , 910 ," 4,045 "," 3,238 "," 3,392 "," 2,873 "," 3,607 "," 2,982 "," 79,050 "," 10,657 "," 8,713 "," 3,054 ",," 3,702 ",
 EAST MIDLANDS ,South Northamptonshire,E07000155,UKF2403, 16 , 23 , 38 , 3 , 42 , 88 , 94 , 182 , 232 , 414 ," 5,674 "," 4,203 "," 4,130 "," 3,374 "," 4,755 "," 3,656 "," 71,188 "," 11,750 "," 9,948 "," 3,761 ",," 4,958 ",
 EAST MIDLANDS ,Wellingborough,E07000156,UKF2504, 11 , 24 , 35 , 3 , 37 , 47 , 80 , 128 , 236 , 363 ," 4,336 "," 3,365 "," 3,397 "," 2,886 "," 3,694 "," 3,027 "," 84,279 "," 11,673 "," 9,729 "," 3,114 ",," 3,869 ",
 EAST MIDLANDS ,Ashfield,E07000170,UKF1501, 14 , 41 , 55 , 3 , 58 , 57 , 136 , 192 , 377 , 569 ," 3,994 "," 3,193 "," 3,305 "," 2,834 "," 3,482 "," 2,918 "," 114,060 "," 11,143 "," 9,728 "," 2,985 ",," 3,591 ",
 EAST MIDLANDS ,Bassetlaw,E07000171,UKF1502, 14 , 37 , 51 , 4 , 56 , 65 , 131 , 195 , 349 , 545 ," 4,662 "," 3,528 "," 3,500 "," 2,951 "," 3,815 "," 3,080 "," 77,796 "," 8,913 "," 9,772 "," 3,166 ",," 3,965 ",
 EAST MIDLANDS ,Broxtowe,E07000172,UKF1601, 17 , 33 , 49 , 3 , 53 , 68 , 107 , 174 , 159 , 333 ," 4,037 "," 3,306 "," 3,261 "," 2,791 "," 3,524 "," 2,953 "," 50,409 "," 8,097 "," 6,331 "," 3,006 ",," 3,582 ",
 EAST MIDLANDS ,Gedling,E07000173,UKF1602, 19 , 33 , 52 , 3 , 55 , 82 , 113 , 195 , 149 , 344 ," 4,244 "," 3,432 "," 3,420 "," 2,914 "," 3,725 "," 3,090 "," 54,400 "," 9,556 "," 6,245 "," 3,140 ",," 3,801 ",
 EAST MIDLANDS ,Mansfield,E07000174,UKF1503, 12 , 37 , 49 , 3 , 52 , 45 , 116 , 161 , 228 , 390 ," 3,737 "," 3,036 "," 3,172 "," 2,727 "," 3,311 "," 2,805 "," 71,050 "," 10,355 "," 7,510 "," 2,866 ",," 3,464 ",
 EAST MIDLANDS ,Newark and Sherwood,E07000175,UKF1504, 18 , 35 , 53 , 5 , 57 , 83 , 125 , 208 , 320 , 528 ," 4,619 "," 3,500 "," 3,585 "," 2,968 "," 3,936 "," 3,130 "," 69,934 "," 9,623 "," 9,200 "," 3,232 ",," 4,063 ",
 EAST MIDLANDS ,Rushcliffe,E07000176,UKF1603, 19 , 30 , 49 , 3 , 52 , 86 , 108 , 194 , 215 , 409 ," 4,574 "," 3,566 "," 3,577 "," 2,981 "," 3,961 "," 3,186 "," 64,687 "," 9,025 "," 7,830 "," 3,253 ",," 4,026 ",
 WEST MIDLANDS ,"Herefordshire, County of",E06000019,UKG1100, 15 , 67 , 82 , 11 , 93 , 100 , 265 , 365 , 592 , 957 ," 6,518 "," 5,174 "," 3,956 "," 3,200 "," 4,434 "," 3,414 "," 56,102 "," 6,813 "," 10,311 "," 3,521 ",," 4,452 ",
 WEST MIDLANDS ,Shropshire,E06000051,UKG2200, 20 , 118 , 138 , 16 , 155 , 131 , 448 , 579 , 834 ," 1,413 "," 6,521 "," 5,083 "," 3,795 "," 3,108 "," 4,191 "," 3,265 "," 50,851 "," 7,503 "," 9,141 "," 3,375 ",," 4,274 ",
 WEST MIDLANDS ,Stoke-on-Trent,E06000021,UKG2300, 9 , 104 , 113 , 8 , 121 , 43 , 329 , 371 , 565 , 937 ," 4,719 "," 3,668 "," 3,157 "," 2,748 "," 3,282 "," 2,791 "," 69,457 "," 8,769 "," 7,723 "," 2,855 ",," 3,397 ",
 WEST MIDLANDS ,Telford and Wrekin,E06000020,UKG2100, 6 , 67 , 73 , 5 , 79 , 29 , 228 , 258 , 598 , 856 ," 4,908 "," 3,729 "," 3,386 "," 2,935 "," 3,510 "," 2,975 "," 110,327 "," 9,933 "," 10,850 "," 3,048 ",," 3,714 ",
 WEST MIDLANDS ,Cannock Chase,E07000192,UKG2401, 5 , 38 , 43 , 3 , 46 , 23 , 136 , 159 , 185 , 345 ," 5,116 "," 4,180 "," 3,583 "," 3,126 "," 3,748 "," 3,203 "," 58,309 "," 9,775 "," 7,543 "," 3,282 ",," 3,774 ",
 WEST MIDLANDS ,East Staffordshire,E07000193,UKG2402, 20 , 30 , 50 , 5 , 55 , 87 , 107 , 194 , 467 , 661 ," 4,383 "," 3,379 "," 3,510 "," 2,906 "," 3,856 "," 3,075 "," 101,560 "," 11,305 "," 12,029 "," 3,181 ",," 3,936 ",
 WEST MIDLANDS ,Lichfield,E07000194,UKG2403, 6 , 37 , 44 , 4 , 47 , 35 , 144 , 180 , 245 , 425 ," 5,580 "," 4,216 "," 3,854 "," 3,209 "," 4,104 "," 3,322 "," 67,336 "," 9,243 "," 8,963 "," 3,398 ",," 4,190 ",
 WEST MIDLANDS ,Newcastle-under-Lyme,E07000195,UKG2404, 5 , 50 , 55 , 4 , 59 , 25 , 170 , 195 , 264 , 459 ," 5,234 "," 3,968 "," 3,378 "," 2,900 "," 3,537 "," 2,958 "," 71,222 "," 8,662 "," 7,794 "," 3,020 ",," 3,582 ",
 WEST MIDLANDS ,South Staffordshire,E07000196,UKG2405, 5 , 42 , 46 , 3 , 49 , 26 , 161 , 187 , 253 , 440 ," 5,747 "," 4,237 "," 3,851 "," 3,233 "," 4,036 "," 3,300 "," 82,228 "," 9,585 "," 8,913 "," 3,369 ",," 4,002 ",
 WEST MIDLANDS ,Stafford,E07000197,UKG2406, 8 , 50 , 59 , 5 , 64 , 45 , 183 , 228 , 317 , 545 ," 5,362 "," 4,030 "," 3,637 "," 3,056 "," 3,883 "," 3,149 "," 63,164 "," 9,468 "," 8,552 "," 3,236 ",," 3,951 ",
 WEST MIDLANDS ,Staffordshire Moorlands,E07000198,UKG2407, 4 , 39 , 44 , 4 , 47 , 26 , 143 , 169 , 324 , 494 ," 5,983 "," 4,318 "," 3,654 "," 3,046 "," 3,889 "," 3,132 "," 82,796 "," 7,576 "," 10,399 "," 3,213 ",," 3,971 ",
 WEST MIDLANDS ,Tamworth,E07000199,UKG2408, 11 , 21 , 32 , 2 , 34 , 48 , 76 , 124 , 194 , 318 ," 4,330 "," 3,586 "," 3,576 "," 3,121 "," 3,835 "," 3,261 "," 88,209 "," 12,396 "," 9,208 "," 3,342 ",," 3,823 ",
 WEST MIDLANDS ,North Warwickshire,E07000218,UKG1301, 9 , 19 , 28 , 3 , 31 , 44 , 71 , 115 , 429 , 544 ," 4,874 "," 3,762 "," 3,780 "," 3,191 "," 4,135 "," 3,346 "," 161,030 "," 11,869 "," 17,819 "," 3,455 ",," 4,350 ",
 WEST MIDLANDS ,Nuneaton and Bedworth,E07000219,UKG1302, 20 , 36 , 57 , 4 , 60 , 83 , 124 , 207 , 227 , 433 ," 4,096 "," 3,349 "," 3,401 "," 2,906 "," 3,648 "," 3,058 "," 64,606 "," 11,068 "," 7,203 "," 3,124 ",," 3,809 ",
 WEST MIDLANDS ,Rugby,E07000220,UKG1303, 17 , 29 , 46 , 4 , 49 , 76 , 105 , 181 , 501 , 682 ," 4,587 "," 3,524 "," 3,623 "," 3,027 "," 3,974 "," 3,183 "," 136,673 "," 10,945 "," 13,839 "," 3,274 ",," 4,126 ",
 WEST MIDLANDS ,Stratford-on-Avon,E07000221,UKG1304, 15 , 41 , 57 , 6 , 63 , 100 , 174 , 274 , 358 , 632 ," 6,461 "," 4,802 "," 4,217 "," 3,251 "," 4,830 "," 3,553 "," 56,368 "," 8,970 "," 10,033 "," 3,678 ",," 5,094 ",
 WEST MIDLANDS ,Warwick,E07000222,UKG1305, 24 , 38 , 62 , 6 , 68 , 115 , 136 , 251 , 380 , 631 ," 4,781 "," 3,685 "," 3,547 "," 2,933 "," 4,022 "," 3,175 "," 65,179 "," 9,390 "," 9,252 "," 3,264 ",," 4,136 ",
 WEST MIDLANDS ,Birmingham,E08000025,UKG3100, 55 , 375 , 430 , 36 , 466 , 277 ," 1,320 "," 1,597 "," 2,489 "," 4,085 "," 5,067 "," 4,127 "," 3,521 "," 2,971 "," 3,717 "," 3,066 "," 68,437 "," 8,551 "," 8,769 "," 3,150 ",," 3,703 ",
 WEST MIDLANDS ,Coventry,E08000026,UKG3300, 40 , 99 , 139 , 9 , 148 , 167 , 324 , 492 , 789 ," 1,281 "," 4,168 "," 3,309 "," 3,292 "," 2,806 "," 3,545 "," 2,930 "," 89,088 "," 11,210 "," 8,680 "," 3,005 ",," 3,472 ",
 WEST MIDLANDS ,Dudley ,E08000027,UKG3600, 15 , 121 , 136 , 10 , 146 , 73 , 424 , 498 , 515 ," 1,012 "," 4,803 "," 3,831 "," 3,500 "," 3,045 "," 3,645 "," 3,107 "," 52,250 "," 8,199 "," 6,918 "," 3,167 ",," 3,764 ",
 WEST MIDLANDS ,Sandwell ,E08000028,UKG3700, 14 , 117 , 131 , 10 , 142 , 70 , 391 , 461 , 780 ," 1,242 "," 4,869 "," 3,812 "," 3,350 "," 2,878 "," 3,517 "," 2,944 "," 74,698 "," 8,995 "," 8,770 "," 3,011 ",," 3,616 ",
 WEST MIDLANDS ,Solihull,E08000029,UKG3200, 12 , 79 , 91 , 6 , 97 , 64 , 302 , 366 , 614 , 979 ," 5,169 "," 4,089 "," 3,836 "," 3,284 "," 4,017 "," 3,360 "," 106,327 "," 9,529 "," 10,119 "," 3,421 ",," 4,123 ",
 WEST MIDLANDS ,Walsall,E08000030,UKG3800, 12 , 103 , 115 , 9 , 123 , 60 , 369 , 429 , 529 , 958 ," 5,102 "," 4,080 "," 3,576 "," 3,079 "," 3,733 "," 3,146 "," 61,632 "," 7,295 "," 7,760 "," 3,198 ",," 3,838 ",
 WEST MIDLANDS ,Wolverhampton,E08000031,UKG3900, 14 , 94 , 108 , 8 , 117 , 72 , 325 , 397 , 532 , 929 ," 5,282 "," 4,233 "," 3,437 "," 2,957 "," 3,669 "," 3,055 "," 62,803 "," 8,468 "," 7,971 "," 3,118 ",," 3,765 ",
 WEST MIDLANDS ,Bromsgrove,E07000234,UKG1201, 4 , 37 , 41 , 3 , 44 , 26 , 145 , 171 , 153 , 324 ," 5,951 "," 4,737 "," 3,977 "," 3,343 "," 4,188 "," 3,435 "," 45,898 "," 8,793 "," 7,329 "," 3,519 ",," 4,339 ",
 WEST MIDLANDS ,Malvern Hills,E07000235,UKG1202, 6 , 29 , 35 , 3 , 38 , 39 , 117 , 156 , 137 , 293 ," 6,690 "," 5,114 "," 4,073 "," 3,280 "," 4,515 "," 3,452 "," 39,196 "," 7,591 "," 7,696 "," 3,548 ",," 4,651 ",
 WEST MIDLANDS ,Redditch,E07000236,UKG1203, 3 , 33 , 36 , 2 , 39 , 16 , 117 , 133 , 221 , 355 ," 4,856 "," 3,862 "," 3,582 "," 3,108 "," 3,698 "," 3,156 "," 90,270 "," 11,512 "," 9,207 "," 3,228 ",," 3,750 ",
 WEST MIDLANDS ,Worcester,E07000237,UKG1204, 6 , 40 , 45 , 4 , 49 , 28 , 136 , 164 , 246 , 410 ," 4,926 "," 4,045 "," 3,428 "," 2,936 "," 3,616 "," 3,033 "," 69,336 "," 8,233 "," 8,380 "," 3,102 ",," 3,750 ",
 WEST MIDLANDS ,Wychavon,E07000238,UKG1205, 9 , 45 , 54 , 5 , 59 , 58 , 184 , 242 , 394 , 635 ," 6,378 "," 4,922 "," 4,078 "," 3,301 "," 4,463 "," 3,473 "," 73,444 "," 8,919 "," 10,679 "," 3,572 ",," 4,687 ",
 WEST MIDLANDS ,Wyre Forest,E07000239,UKG1206, 5 , 40 , 45 , 4 , 49 , 28 , 148 , 176 , 197 , 373 ," 5,345 "," 4,169 "," 3,715 "," 3,116 "," 3,906 "," 3,200 "," 56,229 "," 8,062 "," 7,679 "," 3,261 ",," 4,012 ",
 EAST ,Bedford,E06000055,UKH2400, 20 , 52 , 72 , 6 , 78 , 101 , 185 , 286 , 415 , 701 ," 5,003 "," 3,752 "," 3,554 "," 2,932 "," 3,958 "," 3,112 "," 71,327 "," 9,514 "," 8,982 "," 3,192 ",," 4,136 ",
 EAST ,Central Bedfordshire,E06000056,UKH2500, 32 , 84 , 116 , 8 , 124 , 160 , 315 , 475 , 577 ," 1,052 "," 5,048 "," 3,860 "," 3,739 "," 3,126 "," 4,096 "," 3,292 "," 68,007 "," 9,156 "," 8,459 "," 3,361 ",," 4,125 ",
 EAST ,Luton,E06000032,UKH2100, 19 , 59 , 78 , 5 , 83 , 82 , 205 , 287 , 411 , 697 ," 4,408 "," 3,443 "," 3,441 "," 2,903 "," 3,671 "," 3,007 "," 76,539 "," 9,525 "," 8,362 "," 3,070 ",," 3,559 ",
 EAST ,Peterborough,E06000031,UKH1100, 22 , 60 , 83 , 7 , 89 , 93 , 202 , 295 , 593 , 887 ," 4,205 "," 3,268 "," 3,339 "," 2,807 "," 3,571 "," 2,921 "," 87,260 "," 9,777 "," 9,936 "," 2,997 ",," 3,726 ",
 EAST ,Southend-on-Sea,E06000033,UKH3100, 21 , 59 , 80 , 7 , 87 , 92 , 212 , 304 , 301 , 605 ," 4,331 "," 3,461 "," 3,588 "," 3,007 "," 3,785 "," 3,111 "," 45,274 "," 8,188 "," 6,956 "," 3,191 ",," 3,875 ",
 EAST ,Thurrock,E06000034,UKH3200, 20 , 47 , 68 , 5 , 72 , 100 , 180 , 280 , 676 , 956 ," 4,901 "," 4,096 "," 3,801 "," 3,228 "," 4,133 "," 3,439 "," 148,168 "," 10,390 "," 13,222 "," 3,510 ",," 4,228 ",
 EAST ,Cambridge,E07000008,UKH1201, 14 , 39 , 53 , 6 , 59 , 57 , 122 , 179 , 553 , 732 ," 4,164 "," 3,235 "," 3,122 "," 2,494 "," 3,394 "," 2,653 "," 89,266 "," 9,905 "," 12,405 "," 2,774 ",," 3,600 ",
 EAST ,East Cambridgeshire,E07000009,UKH1202, 11 , 26 , 37 , 4 , 41 , 66 , 99 , 164 , 217 , 382 ," 5,815 "," 4,291 "," 3,830 "," 3,135 "," 4,434 "," 3,402 "," 60,556 "," 8,095 "," 9,390 "," 3,490 ",," 4,469 ",
 EAST ,Fenland,E07000010,UKH1203, 13 , 31 , 44 , 4 , 48 , 68 , 119 , 188 , 321 , 509 ," 5,155 "," 3,915 "," 3,849 "," 3,151 "," 4,240 "," 3,335 "," 80,496 "," 8,157 "," 10,543 "," 3,414 ",," 4,372 ",
 EAST ,Huntingdonshire,E07000011,UKH1204, 24 , 51 , 75 , 7 , 82 , 119 , 192 , 310 , 518 , 828 ," 4,969 "," 3,726 "," 3,731 "," 3,094 "," 4,124 "," 3,261 "," 75,322 "," 8,753 "," 10,090 "," 3,340 ",," 4,205 ",
 EAST ,South Cambridgeshire,E07000012,UKH1205, 20 , 45 , 65 , 6 , 71 , 117 , 179 , 296 , 486 , 782 ," 5,841 "," 4,317 "," 3,944 "," 3,189 "," 4,524 "," 3,447 "," 84,107 "," 9,874 "," 10,987 "," 3,540 ",," 4,601 ",
 EAST ,Basildon,E07000066,UKH3301, 20 , 58 , 78 , 6 , 84 , 96 , 219 , 316 , 442 , 757 ," 4,883 "," 3,870 "," 3,774 "," 3,182 "," 4,055 "," 3,331 "," 75,777 "," 9,781 "," 9,053 "," 3,395 ",," 4,092 ",
 EAST ,Braintree,E07000067,UKH3302, 20 , 43 , 64 , 6 , 69 , 110 , 168 , 278 , 281 , 560 ," 5,453 "," 4,219 "," 3,880 "," 3,183 "," 4,381 "," 3,438 "," 50,333 "," 8,864 "," 8,095 "," 3,521 ",," 4,337 ",
 EAST ,Brentwood,E07000068,UKH3303, 8 , 25 , 33 , 3 , 36 , 42 , 106 , 148 , 136 , 284 ," 5,440 "," 4,222 "," 4,191 "," 3,323 "," 4,484 "," 3,504 "," 48,734 "," 10,895 "," 7,936 "," 3,622 ",," 4,593 ",
 EAST ,Castle Point,E07000069,UKH3304, 9 , 28 , 38 , 2 , 40 , 47 , 116 , 162 , 84 , 246 ," 5,012 "," 4,063 "," 4,060 "," 3,449 "," 4,294 "," 3,581 "," 37,568 "," 9,513 "," 6,147 "," 3,649 ",," 4,338 ",
 EAST ,Chelmsford,E07000070,UKH3305, 22 , 52 , 74 , 6 , 80 , 116 , 206 , 322 , 393 , 715 ," 5,274 "," 4,155 "," 3,978 "," 3,277 "," 4,366 "," 3,480 "," 67,046 "," 10,165 "," 8,976 "," 3,563 ",," 4,407 ",
 EAST ,Colchester,E07000071,UKH3306, 23 , 56 , 79 , 7 , 86 , 114 , 203 , 317 , 371 , 688 ," 4,954 "," 3,884 "," 3,616 "," 2,989 "," 4,004 "," 3,188 "," 53,641 "," 7,608 "," 7,994 "," 3,257 ",," 4,125 ",
 EAST ,Epping Forest,E07000072,UKH3307, 11 , 45 , 55 , 5 , 61 , 61 , 196 , 257 , 199 , 456 ," 5,676 "," 4,313 "," 4,392 "," 3,462 "," 4,641 "," 3,588 "," 39,157 "," 7,976 "," 7,531 "," 3,667 ",," 4,693 ",
 EAST ,Harlow,E07000073,UKH3308, 9 , 28 , 37 , 3 , 40 , 33 , 96 , 129 , 227 , 356 ," 3,846 "," 3,061 "," 3,401 "," 2,925 "," 3,506 "," 2,954 "," 77,219 "," 7,978 "," 8,956 "," 3,003 ",," 3,570 ",
 EAST ,Maldon,E07000074,UKH3309, 9 , 18 , 28 , 3 , 30 , 56 , 80 , 136 , 130 , 266 ," 6,058 "," 4,667 "," 4,382 "," 3,474 "," 4,950 "," 3,801 "," 48,977 "," 8,580 "," 8,811 "," 3,900 ",," 5,060 ",
 EAST ,Rochford,E07000075,UKH3310, 9 , 26 , 35 , 2 , 37 , 44 , 108 , 151 , 121 , 272 ," 5,000 "," 4,032 "," 4,083 "," 3,456 "," 4,311 "," 3,579 "," 50,803 "," 9,466 "," 7,257 "," 3,656 ",," 4,355 ",
 EAST ,Tendring,E07000076,UKH3311, 20 , 48 , 69 , 5 , 74 , 101 , 171 , 272 , 226 , 498 ," 5,013 "," 3,896 "," 3,523 "," 2,892 "," 3,961 "," 3,111 "," 41,205 "," 7,377 "," 6,711 "," 3,183 ",," 4,263 ",
 EAST ,Uttlesford,E07000077,UKH3312, 10 , 25 , 36 , 4 , 40 , 65 , 113 , 177 , 222 , 399 ," 6,213 "," 4,539 "," 4,430 "," 3,469 "," 4,948 "," 3,720 "," 60,284 "," 9,628 "," 10,098 "," 3,829 ",," 5,166 ",
 EAST ,Broxbourne,E07000095,UKH2301, 11 , 29 , 41 , 3 , 44 , 54 , 113 , 167 , 249 , 416 ," 4,787 "," 3,941 "," 3,858 "," 3,285 "," 4,115 "," 3,424 "," 79,675 "," 8,804 "," 9,512 "," 3,485 ",," 4,216 ",
 EAST ,Dacorum,E07000096,UKH2302, 15 , 49 , 64 , 5 , 69 , 74 , 187 , 262 , 352 , 614 ," 5,066 "," 3,915 "," 3,824 "," 3,135 "," 4,110 "," 3,281 "," 67,474 "," 8,415 "," 8,910 "," 3,342 ",," 4,100 ",
 EAST ,East Hertfordshire,E07000242,UKH2313, 20 , 42 , 62 , 6 , 68 , 112 , 175 , 287 , 237 , 524 ," 5,655 "," 4,314 "," 4,151 "," 3,327 "," 4,632 "," 3,585 "," 42,433 "," 9,297 "," 7,760 "," 3,680 ",," 4,701 ",
 EAST ,Hertsmere,E07000098,UKH2304, 11 , 32 , 43 , 4 , 46 , 55 , 133 , 188 , 260 , 448 ," 4,982 "," 3,864 "," 4,176 "," 3,336 "," 4,384 "," 3,458 "," 73,172 "," 10,456 "," 9,653 "," 3,549 ",," 4,497 ",
 EAST ,North Hertfordshire,E07000099,UKH2305, 15 , 42 , 57 , 5 , 62 , 77 , 158 , 235 , 282 , 516 ," 5,280 "," 4,163 "," 3,756 "," 3,086 "," 4,147 "," 3,299 "," 53,277 "," 9,732 "," 8,345 "," 3,400 ",," 4,134 ",
